ESCOLA;REDE;BAIRRO;LAT;LONG;IDEB
EMEF GOV LEONEL DE MOURA BRIZOLA;Municipal;;-29.882613131660477;-51.15132661939453;
EMEF PAULO FREIRE;Municipal;;-29.890525226719962;-51.126315917541795;
ESC EST ENS MED ERICO VERISSIMO;Estadual;;-29.904387867494194;-51.163681259869115;
ESC EST ENS MED VISCONDE DO RIO BRANCO;Estadual;;-29.959825222954; -51.18488743526025;
EMEF ASSIS BRASIL;Municipal;;-29.93418082554843;-51.19513778870383;
EMEF BARAO DE MAUA;Municipal;;-29.947350251388663;-51.18240338685077;
EMEF CASTELO BRANCO;Municipal;;-29.90294776631124;-51.16185303155797;
EMEF IRMAO PEDRO;Municipal;;-29.92373949069147;-51.14047832732737;
EMEF CEARA;Municipal;;-29.89806586240857;-51.18191446409918;
EMEF CEL FRANCISCO PINTO BANDEIRA;Municipal;;-29.95788335816812;-51.1896874818179;
EMEF DUQUE DE CAXIAS;Municipal;;-29.928302806551887;-51.16517078870402;
